Age,Rate
<21,197.6
21,311.18
22,311.18
23,311.18
24,311.18
25,312.42
26,318.65
27,326.12
28,338.25
29,348.21
30,353.19
31,360.66
32,368.13
33,372.79
34,377.77
35,380.26
36,382.75
37,385.24
38,387.73
39,392.71
40,397.69
41,405.16
42,412.31
43,422.27
44,434.72
45,449.34
46,466.77
47,486.37
48,508.78
49,530.87
50,555.77
51,580.35
52,607.42
53,634.81
54,664.37
55,693.93
56,725.98
57,758.35
58,792.89
59,810
60,844.54
61,874.42
62,894.02
63,918.6
64+,933.54
